City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,wuchuan,21.4571,110.7659,295.28,94,57,2.06,CN,1731349232
338,sur,22.5667,59.5289,300.56,61,3,1.74,OM,1731349233
339,richards bay,-28.783,32.0377,293.89,86,100,2.77,ZA,1731349235
340,kalachinsk,55.0529,74.5751,263.72,89,100,6.27,RU,1731349236
341,mabaruma,8.2,-59.7833,302.71,67,88,2.01,GY,1731349237
342,jiquilpan de juarez,19.9833,-102.7167,300.07,47,12,1.94,MX,1731349238
343,lebu,-37.6167,-73.65,287.59,61,44,5.92,CL,1731349239
344,fuglafjordur,62.244,-6.814,282.29,83,57,4.21,FO,1731349240
345,pariaman,-0.619,100.12,299.18,81,100,1.46,ID,1731349241
346,altamirano,16.8833,-92.15,296.41,46,34,1.58,MX,1731349242
347,kayangel,8.0823,134.7173,301.08,76,99,2.96,PW,1731349244
348,tvoroyri,61.5556,-6.8111,283.09,90,86,9.22,FO,1731349245
349,holualoa,19.6228,-155.9522,297.06,83,0,1.54,US,1731349246
350,khanty-mansiysk,61.0042,69.0019,260.21,72,40,3.0,RU,1731349247
351,vernon,50.2581,-119.2691,280.24,91,100,0.87,CA,1731349248
352,praia da vitoria,38.7333,-27.0667,292.85,89,87,9.43,PT,1731349249
353,kualakapuas,-3.0091,114.3876,297.39,97,100,1.18,ID,1731349250
354,manismata,-2.4667,111.0333,297.04,97,100,0.38,ID,1731349251
355,nishinoomote,30.7333,131.0,295.26,75,15,0.76,JP,1731349252
356,haiku-pauwela,20.9219,-156.3051,298.24,67,20,8.49,US,1731349254
357,colonia,50.9333,6.95,283.12,86,75,5.14,DE,1731349255
358,talcahuano,-36.7167,-73.1167,290.97,55,20,8.23,CL,1731349256
359,yeniseysk,58.4497,92.1703,264.65,88,98,1.99,RU,1731349257
360,mineiros,-17.5694,-52.5511,299.78,66,58,2.26,BR,1731349258
361,kamina,-8.7386,24.9906,291.04,97,35,1.13,CD,1731349259
362,tabou,4.423,-7.3528,300.03,81,5,3.05,CI,1731349260
